NOAA_Station,ADFG_Station,Area_Nm2
AA-01,,
AA-02,85,399.1961371
AA-03,83,399.187957
AA-04,81,399.1265744
AA-05,79,399.1961462
AA-06,77,399.1961462
AA-07,75,399.1265744
AA-08,73,398.9230839
AA-10,69,399.1879464
AA-18,,
AA-19,,
AA-22,,
AA-23,,
BB-01,139,397.9996581
BB-02,137,397.9996581
BB-03,135,397.9956175
BB-04,133,397.934955
BB-05,131,397.999667
BB-06,129,397.999667
BB-07,127,397.9389987
BB-08,125,397.9996626
BB-09,123,397.9915693
BB-10,121,396.8386595
BB-18,,
BB-19,,
BB-20,,
BB-21,,
BB-22,,
CC-01,,
CC-02,190,396.7108643
CC-03,188,396.7108687
CC-04,186,395.7442691
CC-05,184,366.1314457
CC-06,182,376.7943216
CC-07,180,396.6589178
CC-08,178,329.20942
CC-09,176,389.7941248
CC-10,174,334.0009814
CC-18,,
CC-19,,
CC-20,,
DD-01,,
DD-02,225,395.3204512
DD-03,223,393.5703761
DD-18,,
DD-19,,
DD-20,,
EE-01,,
EE-02,,
EE-18,,
EE-19,,
FF-01,,
FF-02,,
R-01,,
R-02,,
R-03,,
R-18,,
R-19,,
R-20,,
R-21,,
S-01,,
S-02,,
S-03,,
S-18,,
S-19,,
S-20,,
S-21,,
T-01,,
T-02,,
T-03,,
T-18,,
T-19,,
T-20,,
T-21,,
T-22,,
T-23,,
T-24,,
U-01,,
U-02,,
U-03,,
U-18,,
U-19,,
U-20,,
U-21,,
U-22,,
U-23,,
U-24,,
V-01,,
V-02,,
V-03,,
V-18,,
V-19,,
V-20,,
V-21,,
V-22,,
V-23,,
V-24,,
W-01,,
W-02,,
W-03,,
W-18,,
W-19,,
W-20,,
W-21,,
W-22,,
W-23,,
W-24,,
W-25,,
W-26,,
W-27,,
X-01,,
X-02,,
X-03,,
X-18,,
X-19,,
X-20,,
X-21,,
X-22,,
X-23,,
X-24,,
X-25,,
X-26,,
Y-01,,
Y-02,8,401.304097
Y-03,6,401.2873506
Y-04,4,401.2245365
Y-18,,
Y-20,,
Y-21,,
Y-22,,
Y-23,,
Y-24,,
Y-25,,
ZZ-01,,
ZZ-02,43,400.2960036
ZZ-03,41,400.2835875
ZZ-04,39,400.2214893
ZZ-05,37,400.2960129
ZZ-21,,
ZZ-22,,
ZZ-23,,
ZZ-24,,
